GI,GenBank Accession,UniProt Accession,UniProt Entry ID
,ABJ54684.1,A0A0H2ZNB8,A0A0H2ZNB8_STRP2
,ABJ54055.1,A0A0H2ZNB9,A0A0H2ZNB9_STRP2
,ABJ54305.1,A0A0H2ZNC1,A0A0H2ZNC1_STRP2
,ABJ54554.1,A0A0H2ZNC2,A0A0H2ZNC2_STRP2
,ABJ54689.1,A0A0H2ZNC3,A0A0H2ZNC3_STRP2
,ABJ54066.1,A0A0H2ZNC4,A0A0H2ZNC4_STRP2
,ABJ54310.1,A0A0H2ZNC6,A0A0H2ZNC6_STRP2
,ABJ54559.1,A0A0H2ZNC7,A0A0H2ZNC7_STRP2
,ABJ54697.1,A0A0H2ZNC8,A0A0H2ZNC8_STRP2
,ABJ54565.1,A0A0H2ZND0,A0A0H2ZND0_STRP2
,ABJ54316.1,A0A0H2ZND1,A0A0H2ZND1_STRP2
,ABJ54702.1,A0A0H2ZND2,A0A0H2ZND2_STRP2
,ABJ54163.1,A0A0H2ZND3,A0A0H2ZND3_STRP2
,ABJ54078.1,A0A0H2ZND4,A0A0H2ZND4_STRP2
,ABJ54570.1,A0A0H2ZND5,A0A0H2ZND5_STRP2
,ABJ54322.1,A0A0H2ZND6,A0A0H2ZND6_STRP2
,ABJ54170.1,A0A0H2ZND7,A0A0H2ZND7_STRP2
,ABJ54707.1,A0A0H2ZND8,A0A0H2ZND8_STRP2
,ABJ54086.1,A0A0H2ZND9,A0A0H2ZND9_STRP2
,ABJ54328.1,A0A0H2ZNE1,A0A0H2ZNE1_STRP2
,ABJ54178.1,A0A0H2ZNE2,A0A0H2ZNE2_STRP2
,ABJ54712.1,A0A0H2ZNE3,A0A0H2ZNE3_STRP2
,ABJ54092.1,A0A0H2ZNE4,A0A0H2ZNE4_STRP2
,ABJ54584.1,A0A0H2ZNE5,A0A0H2ZNE5_STRP2
,ABJ54334.1,A0A0H2ZNE6,A0A0H2ZNE6_STRP2
,ABJ54717.1,A0A0H2ZNE8,A0A0H2ZNE8_STRP2
,ABJ54590.1,A0A0H2ZNF0,A0A0H2ZNF0_STRP2
,ABJ54342.1,A0A0H2ZNF1,A0A0H2ZNF1_STRP2
,ABJ54723.1,A0A0H2ZNF2,A0A0H2ZNF2_STRP2
,ABJ54191.1,A0A0H2ZNF3,A0A0H2ZNF3_STRP2
,ABJ54104.1,A0A0H2ZNF4,A0A0H2ZNF4_STRP2
,ABJ54350.1,A0A0H2ZNF5,A0A0H2ZNF5_STRP2
,ABJ54196.1,A0A0H2ZNF8,A0A0H2ZNF8_STRP2
,ABJ54357.1,A0A0H2ZNG0,A0A0H2ZNG0_STRP2
,ABJ54600.1,A0A0H2ZNG1,A0A0H2ZNG1_STRP2
,ABJ54116.1,A0A0H2ZNG2,A0A0H2ZNG2_STRP2
,ABJ54364.1,A0A0H2ZNG4,A0A0H2ZNG4_STRP2
,ABJ54121.1,A0A0H2ZNG7,A0A0H2ZNG7_STRP2
,ABJ54740.1,A0A0H2ZNG9,A0A0H2ZNG9_STRP2
,ABJ54207.1,A0A0H2ZNH0,A0A0H2ZNH0_STRP2
,ABJ54612.1,A0A0H2ZNH1,A0A0H2ZNH1_STRP2
,ABJ54748.1,A0A0H2ZNH2,A0A0H2ZNH2_STRP2
,ABJ54128.1,A0A0H2ZNH3,A0A0H2ZNH3_STRP2
,ABJ54213.1,A0A0H2ZNH4,A0A0H2ZNH4_STRP2
,ABJ54375.1,A0A0H2ZNH5,A0A0H2ZNH5_STRP2
,ABJ54617.1,A0A0H2ZNH6,A0A0H2ZNH6_STRP2
,ABJ54133.1,A0A0H2ZNH7,A0A0H2ZNH7_STRP2
,ABJ54381.1,A0A0H2ZNI0,A0A0H2ZNI0_STRP2
,ABJ54624.1,A0A0H2ZNI1,A0A0H2ZNI1_STRP2
,ABJ54138.1,A0A0H2ZNI2,A0A0H2ZNI2_STRP2
,ABJ54760.1,A0A0H2ZNI5,A0A0H2ZNI5_STRP2
,ABJ54392.1,A0A0H2ZNI7,A0A0H2ZNI7_STRP2
,ABJ54146.1,A0A0H2ZNI8,A0A0H2ZNI8_STRP2
,ABJ54230.1,A0A0H2ZNI9,A0A0H2ZNI9_STRP2
,ABJ54765.1,A0A0H2ZNJ0,A0A0H2ZNJ0_STRP2
,ABJ54637.1,A0A0H2ZNJ2,A0A0H2ZNJ2_STRP2
,ABJ54152.1,A0A0H2ZNJ3,A0A0H2ZNJ3_STRP2
,ABJ54235.1,A0A0H2ZNJ4,A0A0H2ZNJ4_STRP2
,ABJ54774.1,A0A0H2ZNJ5,A0A0H2ZNJ5_STRP2
,ABJ54402.1,A0A0H2ZNJ6,A0A0H2ZNJ6_STRP2
,ABJ54643.1,A0A0H2ZNJ7,A0A0H2ZNJ7_STRP2
,ABJ54159.1,A0A0H2ZNJ8,A0A0H2ZNJ8_STRP2
,ABJ54242.1,A0A0H2ZNJ9,A0A0H2ZNJ9_STRP2
,ABJ54780.1,A0A0H2ZNK0,A0A0H2ZNK0_STRP2
,ABJ54409.1,A0A0H2ZNK1,A0A0H2ZNK1_STRP2
,ABJ54650.1,A0A0H2ZNK2,A0A0H2ZNK2_STRP2
,ABJ54166.1,A0A0H2ZNK3,A0A0H2ZNK3_STRP2
,ABJ54248.1,A0A0H2ZNK4,A0A0H2ZNK4_STRP2
,ABJ54787.1,A0A0H2ZNK5,A0A0H2ZNK5_STRP2
,ABJ54414.1,A0A0H2ZNK6,A0A0H2ZNK6_STRP2
